Taxa	PC1	PC2	PC3
10_11	1.9102858	10.15951	-5.3136454
10_12	6.926961	19.530445	-14.167378
10_13	6.4094	14.820357	-11.892083
10_14	5.4397793	16.834724	-13.741091
10_4	6.2852182	18.14988	-13.6325445
10_6	7.24828	17.992125	-14.125728
10_7	3.4705858	12.052166	-7.4686556
10_8	0.4446175	6.0062776	-2.6133454
11_1	-18.369993	-2.8631468	26.1729
11_2	-18.333195	-3.8686862	27.795704
11_4	-16.018784	-3.8693483	25.705027
11_6	-17.496822	-4.898159	26.942747
11_7	-14.793238	-3.546441	25.954899
11_8	-16.933146	-3.8207533	24.347242
12_1	3.101335	10.025903	-4.721
12_2	6.009155	8.617882	-6.07158
13_1	-1.6624266	9.856845	-2.3094094
13_10	-1.1813227	9.071302	-5.0076222
13_3	-1.0585732	9.130265	-4.061559
13_4	6.2635922	17.326637	-14.057649
13_7	9.963541	9.664168	-7.16805
13_9	-1.4728689	9.691265	-3.992168
14_1	1.2405449	6.0193934	0.71195966
14_2	-0.0116642285	7.1903443	-0.07496483
14_4	1.791014	6.3223815	3.0851293
1_1	3.9320729	12.065675	-7.3460617
1_10	-1.8243346	2.6812193	0.053310025
1_11	3.9059556	10.776874	-7.2717185
1_12	-4.9062967	1.6165582	1.3531572
1_2	1.2943636	8.282806	-6.1397996
1_3	-0.37991318	0.15798832	0.38024673
1_4	0.6601459	2.3488126	-1.0839461
1_6	0.66232	6.176699	-4.0401936
1_7	-0.30993852	0.77389777	-1.4677892
1_8	-0.6535709	4.648153	0.9965357
1_9	2.462195	2.1989856	2.7994742
2_1	9.212637	9.005084	-6.7964773
3_1	33.270287	-15.899866	9.213158
3_10	-11.50349	0.42091313	5.5340986
3_11	-7.3256407	1.3657758	4.5211353
3_12	-8.898717	3.8454306	5.6536207
3_2	33.227287	-16.33023	9.200254
3_3	7.454104	-6.1092567	6.2648697
3_4	34.723755	-15.202391	10.012323
3_5	33.899235	-16.50492	7.9635706
3_6	4.6635394	-3.12838	1.0013088
3_7	-7.0877175	-0.5609921	2.3389173
3_8	-5.6638727	1.6744581	3.501375
4_1	-3.2028165	6.8862553	1.8546396
4_10	7.488904	20.445488	-14.700996
4_12	6.588544	15.210301	-12.55662
4_2	-1.2128254	6.6112437	-3.0542848
4_3	-8.057064	6.056377	5.8021045
4_4	-9.322739	4.4887342	6.51261
4_5	2.1030362	10.5417595	-8.59128
4_6	4.567511	9.872493	-7.197646
4_7	2.2077572	10.585562	-7.271313
4_8	0.46951762	6.6421504	-5.1416135
4_9	2.9108558	12.451757	-8.130744
5_1	-4.2697787	5.7328854	5.35927
5_10	1.2011187	6.3040624	1.0164007
5_11	0.11387434	6.909321	0.18333171
5_12	1.9725477	6.6233263	2.994327
5_2	-18.335836	-3.8425612	28.091257
5_3	-16.109558	-3.6578448	25.50785
5_4	-11.231501	-2.2535367	12.782158
5_5	-6.9834185	1.1761546	10.378403
5_6	-9.249716	-1.3701974	8.500516
5_7	3.3552527	11.190323	-5.191339
5_9	5.977313	8.754065	-6.5024915
6_1	-13.380721	-27.620571	-19.41674
6_10	-14.232285	-25.637827	-16.692928
6_12	-16.103304	-27.042938	-20.171001
6_2	-6.2187824	-11.175401	-13.186759
6_3	-14.002146	-26.90481	-20.436897
6_4	-13.755154	-26.08632	-18.024374
6_5	-14.554339	-26.485783	-19.889776
6_6	-13.45613	-25.260881	-18.001085
6_7	-12.748365	-24.614656	-18.784718
6_8	-13.7558975	-26.992115	-18.461222
6_9	-15.120261	-26.566317	-19.600494
7_1	33.356293	-16.019547	9.137045
7_2	34.128773	-16.738026	9.532002
7_3	24.725416	-14.8630495	7.8492
7_4	34.671356	-15.121399	9.774375
7_5	34.66552	-16.911465	7.9755807
7_6	35.863045	-17.150143	9.781227
8_1	-12.189215	1.4207807	7.618673
8_2	-12.620983	1.6782116	6.630219
8_3	-10.72807	0.60341245	5.1376143
8_4	-9.823458	4.902319	7.9048424
8_7	-9.580371	3.2658644	5.9148192
9_1	-3.4269867	6.1186795	1.6924006
9_2	-4.689149	7.232791	4.04348
9_3	-8.809391	5.890048	5.627127
9_4	-9.183056	4.82239	6.464349
